"claim_id","claim","source_domains","report_coverage","original_study","author_year","country","population","age_range","sample_size","topic_domain","research_design","predictor_iv","outcome_dv","effect_size","direction","confidence","limitations","causal","replicated","indonesia_specific","male_specific","wording_manipulated","evidence_concerns","evidence_category","mechanism_cluster","male_specificity_class"
"C045","Indonesian tobacco advertising historically constructed masculinity through emotional control, status, adventure/modernity and traditional values.","D2","1","Nichter et al. Tobacco Control analysis","Nichter et al. (2009)","Indonesia","Advertising and cultural material","n/a","Cultural/semiotic analysis","Indonesian communication","Cultural analysis","Advertising themes","Masculine construction","Themes identified, not quantified","Descriptive","MODERATE-STRONG (descriptive)","Historical; does not isolate persuasive effect; does not license transfer to health communication","No","Partly","YES","Yes","No","observed usage","D","(cultural coding only)","INDONESIA-CONFIGURED"
"C046","Indonesian sports institutions (football, basketball, badminton) consistently organise emotion collectively using kita, berjuang, dukung, bersama, and process defeat with acknowledgement, apology, gratitude for effort and commitment to improve.","D2","1","Indonesian sports corpus 2024-2026 (Persebaya, Timnas basket, PBSI)","Corpus observation (2024-2026)","Indonesia","Official sports communications","n/a","Multiple primary communications","Indonesian communication","Corpus observation","Institutional sports communication","Rhetorical structure","Repeated collective framing across three sports","Strong observed pattern","STRONG as observed pattern; NO causal outcome","Sports audiences are not male-only; no audience-effect measurement; must not be read as male preference","No","n/a","YES","NO","No","observed usage","D","BELONGING;COLLECTIVE IDENTITY;DIGNITY AFTER FAILURE","INDONESIA-CONFIGURED"
"C047","Indonesian TikTok discourse around #LakiLakiTidakBercerita shows male emotional openness can attract audience reactions that reassert restrictive masculinity.","D2;D3","2","#LakiLakiTidakBercerita research","(Indonesian qualitative studies, 2024/2025)","Indonesia","TikTok users/posts","Young adult","Qualitative discourse/interview work","Indonesian communication","Qualitative discourse analysis","Public male emotional disclosure","Audience reaction","Not quantified","Norm is actively enforced, not merely descriptive","EMERGING (qualitative)","Not population-level; platform-specific; not manosphere-specific","No","No","YES","Yes","No","observed usage","C","SOCIAL EXPOSURE COST;PEER NORM ENFORCEMENT","INDONESIA-CONFIGURED"
"C048","Internalisation of masculine role norms correlated with self-stigma about help-seeking among Indonesian early-adult men, accounting for roughly 9.7% of variance.","D2","1","Alexi self-stigma study","Alexi (2024)","Indonesia (national/online)","Early adult men","18-25","Not stated in source","Indonesia masculinity & MH","Linear regression, cross-sectional","Male Role Norms Scale","Self-stigma of seeking help","~9.7% of variance","Positive association with self-stigma","MODERATE (limited reporting)","Non-probability online sampling; cross-sectional; sample size not reported in accessible source","No","Converges with C032","YES","Yes","No","attitude;self-stigma","B","STIGMA;IDENTITY-THREAT","INDONESIA-CONFIGURED"
"C049","In donated real TikTok viewing histories, ordinary 'cultural touchpoint' male content vastly outnumbered explicitly harmful material.","D3;D4","2","Fisher et al. Masculinity Content Classification Framework","Fisher et al. (2026)","Australia/UK/US","Men who donated viewing histories","16-25","142 men; 2,414 videos","Manosphere","Descriptive content classification of real viewing data","Content tier","Share of viewed videos","37.74% cultural touchpoints; 4.89% masculine-status; 0.87% degrading-health","Harmful tier is small but embedded in the same ecology","STRONG (for boundary framework in sampled users)","No causal outcome measurement; three Anglophone countries; 16-25 only","No","No","No","Yes","No","observed usage;engagement","D","(ecosystem structure)","SOCIAL-CONTEXT"
"C050","63% of young men regularly engaged with at least one masculinity influencer; followers were on average MORE employed, educated, higher-income and partnered than non-followers, while reporting more distress on some measures.","D3;D4","2","Movember Institute young men's survey","Movember Institute (2025)","Australia/UK/US","Young men","16-25","N=3,048","Manosphere","Cross-sectional survey","Influencer following","Demographics; distress; risky health behaviour","63% follow >=1; 19% vs 11% diet pills/steroids; more optimism plus more distress","Refutes the 'broken lonely loser' stereotype","MODERATE for prevalence within its own definition; WEAK for causality","Cross-sectional; selection cannot be ruled out; 'masculinity influencer' broadly defined; not equal to manosphere membership; advocacy-organisation data, not peer-reviewed","No","Partly (Equimundo converges)","No","Yes","No","engagement;attitude","B","AGENCY;ASPIRATION;IDENTITY","SOCIAL-CONTEXT"
"C051","Experimentally exposing men to a manfluencer framing social change as a threat to men's status increased mistrust and misogynistic attitudes, with stronger effects among younger men reporting more past rejection.","D3;D4","2","Renstrom & Back survey plus experiments","Renstrom & Back (2024)","Sweden","Men","Adult; young men moderated","Survey N=2,857; experiments N=597 and N=630","Manosphere","Survey + randomised experiments","Status-threat manfluencer messaging","Mistrust; dehumanisation of women; misogynistic attitudes","Effects statistically significant but described by authors as relatively small","Positive (harmful direction)","MODERATE-STRONG for immediate attitudes","Fictitious vignettes; immediate attitudes only; not long-term radicalisation or behaviour; Sweden","Yes (experiments)","No","No","Yes","YES (message content manipulated)","attitude","A","STATUS THREAT;GRIEVANCE","MALE-DIFFERENTIATED"
"C052","Lower acknowledgement of men's structural privilege predicted greater perceived threat from feminists, which in turn related to stronger endorsement of manosphere attitudes.","D3;D4","2","Franklin-Paddock, Platow & Ryan","Franklin-Paddock et al. (2025)","Australia/global online panel","Adult men","Adult","N=311; N=470","Manosphere","Two cross-sectional surveys with SEM","Privilege acknowledgement; perceived status stability","Feminist threat; manosphere beliefs","Significant indirect pathway","Positive","MODERATE","Correlational; temporal ordering unresolved; direction could run either way","No","Partly","No","Yes","No","attitude","B","STATUS THREAT;GRIEVANCE","MALE-DIFFERENTIATED"
"C053","Ofcom's qualitative study found humour, irreverence, open debate, fitness and perceived practical usefulness were the most common attractions; participants frequently consumed selectively and rejected creators' more extreme gender claims.","D3","1","Ofcom Manosphere Unmasked","Ofcom (2025)","UK","Men across exposure levels","Adult","38 men + 1 woman","Manosphere","Intensive qualitative interviews and observation","Engagement pattern","Reported attraction; selective rejection","Not quantified","Misogyny is often not the entry hook; partial uptake is common","MODERATE for lived experience","Cannot estimate prevalence; likely misses the most extreme users; UK only","No","Partly (Iñigo & Masanet converges)","No","Yes","No","preference;engagement","C","USEFULNESS;HUMOR;AGENCY;VALIDATION","SOCIAL-CONTEXT"
"C054","Former incels describe entry motivated by feeling like a 'loser', being alone, lacking value, and being met with validation, 'it isn't your fault' and 'you belong here'.","D3;D4","2","Maryn et al. former-incel interviews","Maryn et al. (2024)","Mixed/online recruitment","Former incels","Adult","N=21","Manosphere","Retrospective qualitative interviews","Community response to distress","Subjective mechanisms of entry and retention","Not quantified","Validation precedes ideology","MODERATE for subjective mechanisms","Retrospective; self-selected; not representative; not causal","No","Partly (Botto & Gottzen converges)","No","Yes","No","preference;engagement","C","VALIDATION;BELONGING;EXTERNAL ATTRIBUTION","SOCIAL-CONTEXT"
"C055","A looksmaxxing community of ~6 million monthly visitors displayed intense bodily scrutiny, invasive modification advice (mewing, leg-lengthening), 'masculine demoralisation' and self-harm discourse.","D3;D4","2","Halpin et al. looksmaxxing analysis","Halpin et al. (2025)","Canada/international forum","Forum participants","Young adult","8,072 comments","Manosphere","Qualitative thematic and content analysis","Community appearance norms","Discourse content","Not quantified","Self-improvement and self-hatred can coexist","STRONG for community content; cannot quantify reader effects","Public forum text only; no individual psychiatric outcomes measured","No","No","No","Yes","No","observed usage","D","QUANTIFIED STATUS;FATALISM;SELF-OBJECTIFICATION","SOCIAL-CONTEXT"
"C056","Algorithmic audits with synthetic vulnerable-male accounts found misogynistic recommendations rose from roughly 13% to 56% of suggested videos within five days.","D3;D4","2","Regehr et al. UCL/Kent TikTok audit","Regehr et al. (2024)","UK/TikTok","Synthetic archetype accounts","n/a (simulated 'teen boy')","7-day audit","Manosphere","Algorithmic audit","Engagement with loneliness/self-improvement content","Share of misogynistic recommendations","13% -> 56%","Rapid amplification","MODERATE for recommender behaviour; WEAK for human psychology","Synthetic accounts cannot experience persuasion; ecological generalisability limited","Yes (for feed response)","Partly (Dhoest converges)","No","Yes (male persona)","No","engagement","A","ALGORITHMIC AMPLIFICATION","GENERAL (platform mechanism)"
"C057","Manosphere community reactions systematically reward in-group identity-signalling language, consolidating group identity over time.","D3;D4","2","Martinez Torres & Morselli","Martinez Torres & Morselli (2026)","Global (r/TheRedPill)","Forum users","Adult","Longitudinal archive of submissions/comments","Manosphere","Social network analysis + NLP","In-group linguistic markers","Social reward (upvotes/replies)","In-group markers received significantly higher social rewards","Positive","MODERATE for social-reward mechanism within one forum","Observes collective platform signals, not individual internalisation; single forum","No","No","No","Yes","No","engagement","B","SOCIAL REWARD;IDENTITY SIGNALLING","SOCIAL-CONTEXT"
"C058","Across 105 empirical studies, sexual-violence rhetoric and practice function within core manosphere communities to consolidate male-supremacist identity under victimhood narratives.","D3;D4","2","PettyJohn et al. systematic review","PettyJohn et al. (2026)","International","Core manosphere communities","Adult","105 studies","Manosphere","Mixed-method systematic review","Community ideology/practice","Sexual-violence rhetoric and mobilisation","Not pooled","Present in core communities","STRONG for presence; INSUFFICIENT for individual perpetration base rates","Ideology/discourse is the unit; does not estimate average-consumer behaviour","No","n/a","No","Yes","No","observed usage","D","(harm documentation)","SOCIAL-CONTEXT"
"C059","Shaming and ridicule messaging aimed at incels produced no positive effect, and one shaming meme increased violent fantasies relative to control.","D3","1","Anti-incel messaging four-study programme","(2025 four-study programme)","Anglophone","Incel-adjacent men","Adult","Four studies","Intervention messaging","Randomised message experiments","Ridicule/shaming vs control","Attitudes; violent fantasies","No positive effect; one shaming condition INCREASED violent fantasies","BACKFIRE","MODERATE-STRONG (direct wording test)","Specific population; single research programme; not yet widely replicated","Yes","No","No","Yes","YES","attitude","A","SHAME;REACTANCE;IDENTITY THREAT","SOCIAL-CONTEXT"
"C060","Prebunking/inoculation improves recognition of manipulation tactics but with small effects that shrink among already-committed audiences and do not reliably change behaviour.","D3","1","Inoculation/prebunking literature","(multiple)","Multinational","General and committed audiences","Adult","Multiple experiments","Intervention messaging","Experiments/meta-analytic summary","Prebunking exposure","Recognition; behaviour","Small effects; attenuated for committed audiences","Modest positive","MODERATE","Recognition does not equal behaviour change","Yes","Yes","No","No","YES","attitude;engagement","A","MEDIA LITERACY","GENERAL"
"C061","Manosphere-engaged young men are often higher-income and more optimistic yet report similar loneliness to peers (55-56% vs 54% often lonely).","D3","1","Equimundo Young Men Research Project","Equimundo YMRP (2025)","US","Young men","18-29","Poll; exact N not stated","Manosphere","Cross-sectional poll","Manosphere engagement (Tate/Sneako trust)","Class; optimism; loneliness; masculinity identification","52% middle class+; 78% American dream attainable; 55-56% vs 54% often lonely; 54% vs 38% identify masculine; 72% vs 46% endorse breadwinner","Refutes the loneliness-driven stereotype","EMERGING (single non-peer-reviewed US poll)","Not peer-reviewed; single poll; advocacy organisation; sample size not stated","No","Partly (Movember converges)","No","Yes","No","engagement;attitude","B","STATUS;IDENTITY;ASPIRATION","SOCIAL-CONTEXT"
"C062","A uniquely male loneliness epidemic is contested: recent systematic review and representative polling find broadly comparable loneliness rates for men and women, though men turn to others for help less.","D3","1","Chowdhury et al.; Pew; AIBM","Chowdhury et al. (2026); Pew (2025); AIBM","US/international","Adults","Adult","Systematic review; Pew N=6,204","Loneliness","Systematic review + representative survey","Gender","Loneliness prevalence; help-seeking behaviour","Pew: 16% men vs 15% women lonely most of the time; no-close-friends gap ~9% vs 8% by 2023","Loneliness is not distinctively male; help-seeking is","STRONG (as correction)","US-weighted; measures vary; class may matter more than gender","No","Yes","No","Yes (gender comparison)","No","attitude","B","(corrective null)","GENERAL"
"C063","Incel samples show very high depression, anxiety, loneliness and daily suicidal thinking; extreme inceldom resembles suicidality more than terrorism.","D3","1","Costello et al.; UK Commission for Countering Extremism survey","Costello et al. (2022; 2023); UK CCE (N=561)","US/UK","Self-identified incels","Adult","N=561 plus other samples","Manosphere","Cross-sectional survey","Incel identification","Depression; anxiety; suicidality; loneliness; bullying history","~39% moderate-severe depression; 43% moderate-high anxiety; 37% daily suicidal thoughts; 48% high loneliness; 86% bullied","Very high distress","MODERATE-STRONG for this population","Self-selected; incels are over-represented in scholarship relative to the wider male-content ecosystem","No","Partly","No","Yes","No","clinical outcome","B","FATALISM;ISOLATION","SOCIAL-CONTEXT"
"C064","Man Box adherence is associated with higher suicidal ideation, but reported risk multipliers differ sharply across studies and must not be merged.","D3","1","Man Box studies","Promundo/Equimundo (2017); Equimundo State of American Men (2025); Hill/Heilman et al. (2020)","US/UK/Mexico; US","Young men","18-30; 18+","~3,600 (2017); n~2,454 (2025)","Masculinity & MH","Cross-sectional surveys + scale validation","Man Box adherence; provider-role failure","Suicidal ideation","Peer-reviewed OR range 1.56-2.59; separate 2025 survey reports 6.27x, and 16.3x for provider-role failure","Positive","MODERATE for direction; CONTESTED for magnitude","Different studies/years/samples/metrics; advocacy-organisation data; cross-sectional","No","Direction yes; magnitude no","No","Yes","No","clinical outcome","B","PROVIDER IDENTITY;SELF-RELIANCE","SOCIAL-CONTEXT"
"C065","The extreme manosphere is structurally a monetisation machine: insecurity is diagnosed and a purchasable transformation is sold, with rage-bait optimised for algorithmic reach.","D3;D4","2","Neo-manosphere scholarship; Theroux documentary evidence","Gerrand, Ging, Roose & Flood (2025); Theroux (2026)","International","Influencers and audiences","Adult","Review + documentary case evidence","Manosphere","Review + investigative case study","Commercial funnel structure","Monetisation; audience insecurity","Not quantified; documented case (Theroux lost most of an invested ~GBP500)","Commercial incentive is structural","MODERATE-STRONG for structure; EMERGING for deliberate insecurity maintenance","Intentional strategy to maintain insecurity is plausible but not systematically demonstrated","No","Partly","No","Yes","No","observed usage","D/E","COMMERCIALISED INSECURITY","SOCIAL-CONTEXT"
"C066","Indonesian male-oriented digital ecosystems are marriage-centred rather than casual-sex-centred: content organises around achieving kemapanan (established status), meeting provider expectations and vetting a prospective wife.","D4","1","Indonesian manosphere ecosystem mapping","Indonesian manosphere reports (2024-2026)","Indonesia","Male-oriented creators and audiences","18-35","Descriptive corpus","Indonesian manosphere","Corpus/ecosystem description","Local institutional context","Content structure","Not quantified","Local configuration differs from Western paradigm","MODERATE as observed pattern; NOT audience-effect evidence","Descriptive; no audience measurement; some source-quality problems in one of the two reports","No","Partly (both Indonesian reports converge)","YES","Yes","No","observed usage","D","PROVIDER IDENTITY;MARRIAGEABILITY;STATUS","INDONESIA-CONFIGURED"
"C067","Indonesian provider expectations are institutionally codified, not merely cultural: marriage law designates the husband as head of family and obliges him to provide; Islamic nafaqah is a legal duty; adat requires public financial demonstrations (uang panai, seserahan).","D4","1","Indonesian legal and customary analysis","Law No. 1/1974 Art. 31(3), 34(1); fiqh nafaqah; adat practices","Indonesia","Indonesian men","Adult","Institutional analysis","Indonesian masculinity","Documentary/institutional analysis","Statutory, religious and customary obligation","Provider pressure","Not quantified","Provider identity is legally and religiously anchored","STRONG (for the institutional facts)","Institutional description; does not measure psychological effect","No","n/a","YES","Yes","No","n/a","D","PROVIDER IDENTITY;RESPONSIBILITY;DIGNITY","INDONESIA-CONFIGURED"
"C068","Indonesian structural conditions plausibly intensify provider strain: ~59% informal employment, female tertiary gross enrolment (35.98%) exceeding male (31.05%), and registered marriages falling 28.63% over a decade to 1,577,255 in 2023.","D4","1","BPS statistics as cited in Indonesian manosphere report","BPS (various years, as reported)","Indonesia","National","All","National statistics","Indonesian context","Secondary statistics","Labour informality; education; marriage rate","Structural context","59% informal; APK 35.98% F vs 31.05% M; marriages -28.63% over 2014-2024","Structural pressure is real","MODERATE (figures reported second-hand; verify before publication)","Cited from a secondary report rather than primary BPS release; causal link to male distress is not established","No","No","YES","Partly","No","n/a","B","MATERIAL CONDITIONS;STATUS ANXIETY","INDONESIA-CONFIGURED"
"C069","Indonesian male digital vocabulary is locally distinctive: bucin (from budak cinta) for 'simp', mapan / pria berkualitas for 'high-value man', melek realita for 'red-pilled', cowok lembek as the pejorative.","D4","1","Indonesian manosphere lexicon mapping","Indonesian manosphere report (2026)","Indonesia","Online male discourse","18-35","Descriptive corpus","Indonesian manosphere","Lexical corpus description","Local vernacular","Terminology","Not quantified","Imported concepts are relexified locally","MODERATE as description; frequency NOT quantified","No corpus frequency data; urban/Jakarta-weighted; one source report has verifiable quality problems","No","Partly","YES","Yes","No","observed usage","D","STATUS LEGIBILITY","INDONESIA-CONFIGURED"
"C070","Indonesian male-oriented content offers validation without requiring public vulnerability: it names male exhaustion while framing composure and quiet endurance as virtues.","D4","1","Indonesian manosphere report content analysis","Indonesian manosphere report (2026)","Indonesia","Male-oriented creators","18-35","Descriptive","Indonesian manosphere","Content description","Message form","Audience appeal","Illustrative creator line: 'Gue tahu lo capek... tapi gak ada yang nanya kabar lo'","This is the ecosystem's most transferable communicative function","MODERATE as observed pattern; SPECULATIVE as psychological claim","No audience-effect measurement; illustrative quotations are reconstructed, not verified transcripts","No","Partly","YES","Yes","No","observed usage","D","VALIDATION WITHOUT EXPOSURE","INDONESIA-CONFIGURED"
"C071","Indonesian religious-masculinity ecosystems (Indonesia Tanpa Pacaran, dakwah influencers, Christian Pria Sejati retreats) address the same anxieties as the secular manosphere through rule-bound processes such as ta'aruf.","D4","1","Indonesian religious masculinity mapping","Indonesian manosphere report (2026)","Indonesia","Religious male audiences","18-35","Descriptive","Indonesian manosphere","Ecosystem description","Religious framing","Courtship and identity guidance","Not quantified","Religion supplies certainty and structure without secular red-pill ethics","MODERATE as description","Descriptive; conservative religious masculinity should NOT be relabelled 'manosphere' without evidence of ideological link","No","Partly","YES","Yes","No","observed usage","D","CERTAINTY;MORAL LEGITIMACY;STRUCTURE","INDONESIA-CONFIGURED"
"C072","Each additional moral-emotional word is associated with roughly 13% more sharing, replicated preregistered across five research groups.","D6","1","Brady et al. preregistered replication and meta-analysis","Brady et al. (2025, PNAS Nexus); Brady et al. (2017, PNAS)","Predominantly US political discourse","Elites and ordinary users","Adult","Meta-analysis 4,821,006 observations, 27 studies; direct replication 849,266 posts","Moral communication","Preregistered replication + meta-analysis of observational corpora","Moral-emotional word count","Sharing/retweeting","Pooled IRR 1.13, 95% CI [1.06,1.20]; replication ~1.17","Positive for diffusion","STRONG for association; MODERATE for causal interpretation","Naturalistic data cannot randomise all wording aspects; political-domain concentration","No","Yes","No","NO","Partly","engagement","B","MORAL SALIENCE;DIFFUSION","GENERAL"
"C073","Absolute moral loading increases engagement while moral DENSITY (moral words as a proportion of the message) decreases it above a saturation point; the fitted maximum in that corpus was around 0.30.","D6","1","Candia, Atari, Kteily & Uzzi","Candia et al. (2022/2026, Nature Human Behaviour)","Cross-national sociopolitical social media","Twitter/X, Reddit, 8chan users","Adult","1.6m+ posts (extended version ~2.14m)","Moral communication","Observational computational modelling","Moral word count vs moral/non-moral ratio","Engagement (likes, reposts, replies, upvotes)","Positive for loading; declining engagement above ~0.30 density","Non-linear saturation","MODERATE-HIGH for non-linearity; VERY LOW as a universal 30% rule","Corpus-specific; political/fringe platforms; dictionary-based; NOT replicated in organisational, health, Indonesian or video contexts; corpus changed between preprint and publication","No","No","No","NO","Partly","engagement","B","MORAL SATURATION","GENERAL"
"C074","Moral outrage predicts virality but, holding reach constant, predicts FEWER petition signatures; agency, collective identity and prosocial language show the opposite profile.","D6","1","Leach, Formanowicz, Nikadon & Cichocka","Leach et al. (2025/2026, SPPS)","Global English-speaking","Online civic participants","Adult","1,286,442 X posts linked to 24,785 Change.org petitions","Moral communication","Observational NLP with mediation modelling","Outrage vs agency/prosocial/collective-identity language","Virality; verified petition signatures","Reposts->signatures exp(b)~1.54; direct outrage->signatures ~0.98 controlling for virality","Double dissociation between reach and conversion","STRONG (very large ecological dataset with real behaviour)","Observational; no randomised wording; petition topic may confound both language and success","No","No","No","NO","No","engagement;actual behavior","B","AGENCY;EFFICACY;BELONGING vs OUTRAGE","GENERAL"
"C075","Moral appeals have a small positive average effect on intentions and behaviour; assertive (autonomy-restricting) wording reduces their effectiveness.","D6","1","Xu et al. moral appeals meta-analysis","Xu et al. (2026, PSPB)","Multiple message contexts","General audiences","Adult","67 papers; k=399 effects","Moral communication","Meta-analysis","Moral appeal; assertiveness moderator","Intentions and behaviour","d=.22 overall; assertiveness undermines effectiveness","Small positive; assertiveness harms","STRONG for the small average; LOW for any single universal effect","Large contextual heterogeneity; mostly short-term outcomes","Partly","Yes","No","NO","YES (assertiveness manipulated)","intention;actual behavior","A/B","MORAL RELEVANCE;AUTONOMY","GENERAL"
"C076","Corporate sociopolitical activism shows small positive pooled associations with attitudes, behaviour/intentions and stock response, but NO reliable pooled association with advertising/social-media engagement.","D6","1","Braga et al. meta-analysis","Braga et al. (2026, Journal of Business Research)","Multinational","Stakeholders","Adult","88 studies; 501 effects","Moral communication","Meta-analysis","Corporate sociopolitical activism","Attitudes; behaviour/intentions; stock; engagement","r=.124; r=.084; r=.182; engagement non-significant","Small positive downstream; engagement is not a valid proxy","STRONG for literature-wide heterogeneity","Extremely high I-squared; search ended Sept 2023; commercial rather than nonprofit weighting","No","n/a","No","NO","No","attitude;intention;actual behavior;engagement","B","MOTIVE ATTRIBUTION;CREDIBILITY","GENERAL"
"C077","Consistency over time and tangible resource commitment independently predict more favourable stakeholder responses to organisational moral positioning.","D6","1","Braga et al. moderator analysis","Braga et al. (2026)","Multinational","Stakeholders","Adult","88-study meta-analysis","Moral communication","Meta-analytic moderator analysis","Consistency; resource commitment vs statement-only","Stakeholder response","Positive multivariate moderators (~.12-.13 for resource commitment)","Costly, consistent action increases credibility","MODERATE-STRONG","Coding differences; cost can also create investor risk in some conditions","No","Partly (Ahmad et al. converges)","No","NO","No","attitude","B","COSTLY SIGNALLING;AUTHENTICITY","GENERAL"
"C078","Concrete descriptions of internal organisational change generate stronger perceived authenticity than abstract moral positioning; a cause-congruent promise that is then unfulfilled is especially damaging.","D6","1","Ahmad, Guzman & Al-Emran","Ahmad et al. (2024, JBR)","US","Student and nationally representative samples","Adult","Four experiments across three issue contexts","Moral communication","Randomised experiments","Abstract vs concrete internal/external activism; promise fulfilment","Perceived fit; authenticity","Concrete internal messaging strongest; 'congruent woke washing' most damaging","Specificity increases credibility; broken congruent promises are worst","STRONG","Scenario-based; authenticity perception rather than long-term behaviour","Yes","Partly","No","NO","YES","attitude;trust","A","AUTHENTICITY;FALSIFIABILITY","GENERAL"
"C079","Publicly observable prosocial behaviour causes observers to discount the actor's virtue by inferring less principled motives.","D6","1","Kraft-Todd, Kleiman-Weiner & Young","Kraft-Todd et al. (2023, Open Mind)","US","Individual actors and observers","Adult","14 studies; 7 preregistered; N=9,360","Moral communication","Randomised experiments","Public vs private prosocial action","Perceived virtue; motive attribution","Motive attribution mediates most of the discounting","Publicity invites suspicion","STRONG for interpersonal attribution; MODERATE-LOW for direct transfer to organisations","Individual actors, not corporations; US samples","Yes","Yes","No","NO","Partly","trust;attitude","A","MOTIVE ATTRIBUTION;VIRTUE DISCOUNTING","GENERAL"
"C080","Visible virality metrics causally increase outrage expression, partly through greater perceived danger.","D6","1","Puryear, Vandello & Gray","Puryear et al. (2024, JPSP)","US","Twitter users and experiment participants","Adult","Naturalistic N=237,230; five experiments N=1,499","Moral communication","Naturalistic + randomised experiments","Visible virality signals","Outrage expression","Significant causal increase; perceived danger mediates","Platform feedback amplifies outrage","STRONG for the mechanism","Twitter/X and US samples","Yes","No","No","NO","Partly","engagement;attitude","A","ALGORITHMIC FEEDBACK;OUTRAGE","GENERAL"
"C081","Moral framing can persuade while simultaneously moralising the attitude and reducing willingness to compromise.","D6","1","Kodapanakkal et al.","Kodapanakkal et al. (2022, Psychological Science)","US","Adults","Adult","Three experiments, roughly 1,000-2,000 each","Moral communication","Randomised experiments","Moral vs non-moral framing","Persuasion; moralisation; compromise behaviour","Moral frames persuaded AND moralised; reduced compromise","Persuasion and depolarisation are different goals","STRONG","Narrow issue set; short-term outcomes","Yes","No","No","NO","YES","attitude;intention","A","MORAL CONVICTION;POLARISATION","GENERAL"
"C082","Audiences who disagree with an organisational moral stance punish it substantially more than aligned audiences reward it.","D6","1","Mukherjee & Althuizen; Hydock, Paharia & Blair","Mukherjee & Althuizen (2020, IJRM); Hydock et al. (2020)","US/Western consumer samples","Consumers","Adult","Multiple experiments plus market simulation","Moral communication","Randomised experiments + choice modelling","Brand stance x consumer agreement","Brand attitude; intention; actual choice","Opponents punish roughly twice as intensely as supporters reward","Asymmetric negativity","STRONG","Specific contested issues; lab conditions may inflate political salience relative to habit","Yes","Yes","No","NO","No","attitude;intention;actual behavior","A","ASYMMETRIC ALIENATION","GENERAL"
"C083","In Indonesia, religious authority and subjective norms drove actual consumer boycott behaviour following MUI Fatwa No. 83/2023, with brand image statistically insignificant.","D6","1","Indonesian consumer boycott studies","Indonesian boycott studies (2024), PLS-SEM","Indonesia","Muslim consumers","Adult","Regional and national consumer surveys","Moral communication","Cross-sectional PLS-SEM","Religious authority; subjective norms; perceived behavioural control","Boycott intention and actual avoidance","Subjective norms and religious authority significant; brand image not","Communal moral authority outweighs brand-level affect","MODERATE","Cross-sectional self-report; crisis-state geopolitical environment; not generalisable to routine communication","No","No","YES","NO","No","intention;actual behavior","B","COMMUNAL MORAL AUTHORITY","INDONESIA-CONFIGURED"
"C084","A commercial brand campaign moralising masculinity generated enormous engagement of overwhelmingly negative valence.","D1;D5;D6","3","Gillette 'We Believe: The Best Men Can Be'","Gillette / P&G (2019)","US/global","Male consumers","Adult","~23m YouTube views; ~1.1m dislikes vs ~620k likes at one snapshot","Moral communication","Case study / observational","Moralised collective-indictment framing","Engagement valence; brand attitude","Dislikes exceeded likes; boycott demands; contested $8bn write-down attribution","Backfire for moral scolding by a commercial source","MODERATE as a case; NOT a controlled test","Confounded by market shifts to DTC razors, creative execution, historical moment; engagement is not approval","No","n/a","No","Yes (male-targeted)","No","engagement;attitude","E","COLLECTIVE INDICTMENT;SOURCE LEGITIMACY","SOCIAL-CONTEXT"
"C085","Long-run costly, structurally embedded moral commitment coexists with low cynicism, but no causal estimate links the rhetoric to business outcomes.","D6","1","Patagonia case","Patagonia (1985-2022)","US/global","Consumers","Adult","Case study","Moral communication","Case study","1% of sales since 1985 (>$140m); 2022 ownership transfer","Perceived authenticity","Not quantified","Costly signalling is credible","MODERATE as an illustration of congruence; WEAK as causal evidence","No counterfactual; not all audiences perceive it as authentic","No","n/a","No","NO","No","n/a","E","COSTLY SIGNALLING;CONGRUENCE","GENERAL"
"C086","Male mental-health organisations converge on permission rather than command: 'It's Okay To Talk', 'as much or as little as you want', explicit confidentiality, non-clinical framing.","D1","1","ANDYSMANCLUB current communication","ANDYSMANCLUB (2024-2026)","UK","Men attending peer groups","Adult","Primary-source corpus","Communication practice","Corpus observation of official copy","Low-pressure permission framing","(none measured)","n/a","Consistent practice across organisations","OBSERVED PRACTICE ONLY; strong face validity","No outcome evaluation; must not be converted into a proven wording effect","No","n/a","No","Yes (male-targeted)","No","observed usage","E","LOW EXPOSURE COST;AUTONOMY","SOCIAL-CONTEXT"
"C087","Peer-support frameworks convert an abstract instruction into a small behavioural script (Ask, Listen, Encourage action, Check in) in ordinary friendship vocabulary.","D1","1","Movember ALEC framework","Movember (2024-2026)","Australia/global","Men supporting friends","Adult","Primary-source corpus","Communication practice","Corpus observation","Structured conversational script","(none measured)","n/a","Reduces interactional uncertainty","OBSERVED PRACTICE; plausible mechanism","No isolated evaluation of the script","No","n/a","No","Yes","No","observed usage","E","UNCERTAINTY REDUCTION;AGENCY","SOCIAL-CONTEXT"
"C088","Bounded numeric check-ins ('How are you? Out of 10?') let a man report state without requiring affective vocabulary.","D1","1","Talk Club operational protocol","Talk Club (2024-2026)","UK","Men in peer groups","Adult","Primary-source corpus","Communication practice","Corpus observation","Metricised emotional entry point","(none measured)","n/a","Lowers the vocabulary barrier","OBSERVED PRACTICE; plausible mechanism; NOT experimentally tested","No controlled comparison against open-ended prompts","No","n/a","No","Yes","No","observed usage","E","LOW EXPOSURE COST;STRUCTURE","SOCIAL-CONTEXT"
